User Name,App Used,File in App Used,Time Used (seconds),File Path,Hour of Day
admin,others,distribution,11.969678,,2024-11-25 08:00
admin,chrome.exe,nikiPC,0.921363,,2024-11-25 08:00
admin,others,-,35.845939,,2024-11-25 08:00
