User Name,App Used,File in App Used,Time Used (seconds),File Path,Hour of Day
admin,acad.exe,some1.dwg,0.119279,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.122027,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.207964,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.149964,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.159622,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.125654,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.122001,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.141998,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.12997,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.118234,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.170427,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.13983,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.129191,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.118565,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.117141,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.116463,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.119149,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.20072,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.120498,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.118801,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.118157,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.116913,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.118348,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.116624,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.118102,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,acad.exe,some1.dwg,1.451557,D:\temp\temp\some1.dwg,2024-11-20 17:00
admin,others,Task Switching,1.205611,,2024-11-20 17:00
admin,acad.exe,some1.dwg,0.708174,D:\temp\temp\some1.dwg,2024-11-20 17:00
