User Name,App Used,File in App Used,Time Used (seconds),File Path
admin,Code.exe,get_active_file.py - file_usage_tracker - Visual Studio Code,4.469927,C:\Users\admin\AppData\Roaming\Code\DawnGraphiteCache\data_3
admin,explorer.exe,This PC,0.13999,C:\Users\admin\AppData\Local\Microsoft\Windows\Explorer\iconcache_16.db
admin,acad.exe,AutoCAD Civil 3D 2010 - [some1.dwg],8.184622,E:\temp\some1.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,3.502647,E:\temp\some1.dwg
admin,acad.exe,AutoCAD Civil 3D 2010 - [some1.dwg],3.667785,E:\temp\some1.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,8.184073,E:\temp\some1.dwg
admin,acad.exe,AutoCAD Civil 3D 2010 - [some2.dwg],5.418926,E:\temp\some2.dwg
admin,explorer.exe,This PC,0.427047,C:\Users\admin\AppData\Local\Microsoft\Windows\Explorer\iconcache_16.db
admin,Code.exe,20-00_07_11_2024.csv - file_usage_tracker - Visual Studio Code,3.370059,C:\Users\admin\AppData\Roaming\Code\Local Storage\leveldb\LOG
admin,acad.exe,AutoCAD Civil 3D 2010 - [some2.dwg],12.822121,E:\temp\some2.dwg
admin,acad.exe,AutoCAD,1.639815,C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_19041.62.219.0_neutral__8wekyb3d8bbwe\Windows\System32\en-GB\winspool.drv.mui
admin,acad.exe,AutoCAD Civil 3D 2010 - [some2.dwg],2.4142,E:\temp\some2.dwg
admin,acad.exe,AutoCAD Civil 3D 2010,6.480384,E:\temp\some2.dwg
