User Name,App Used,File in App Used,Time Used (seconds),File Path,Hour of Day
nborg,others,main.py - file_usage_tracker - Visual Studio Code,5.291098,,2024-11-24 18:00
nborg,opera.exe,nikgeo01/VOT-docker-file-tracker,1.165521,,2024-11-24 18:00
nborg,others,main.py - file_usage_tracker - Visual Studio Code,4.096218,,2024-11-24 18:00
nborg,Viber.exe,Rakuten Viber,4.236324,Rakuten Viber,2024-11-24 18:00
nborg,others,main.py - file_usage_tracker - Visual Studio Code,37.106238,,2024-11-24 18:00
nborg,ARCHICAD.exe,Information,1.478518,Information,2024-11-24 18:00
nborg,ARCHICAD.exe,ARCHICAD 25 DEMO,0.316599,ARCHICAD 25 DEMO,2024-11-24 18:00
nborg,ARCHICAD.exe,Opening Project,4.650907,Opening Project,2024-11-24 18:00
nborg,ARCHICAD.exe,DGTransparentWindow,6.242407,DGTransparentWindow,2024-11-24 18:00
nborg,ARCHICAD.exe,Opening Project,1.68993,Opening Project,2024-11-24 18:00
nborg,ARCHICAD.exe,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,17.911311,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,2024-11-24 18:00
