App Used,File,Time Spent on File (seconds),Hour of Day
acad.exe,E:\temp\some2.dwg,30.392507,16:00
acad.exe,E:\temp\some1.dwg,22.902237,16:00
acad.exe,AutoCAD Civil 3D 2010,12.119186000000001,16:00
others,-,13.843269,16:00
