User Name,App Used,File in App Used,Time Used (seconds),File Path,Hour of Day
admin,others,-,1.211007,,2024-11-15 17:00
Unknown,Unknown,-,0.137824,,2024-11-15 17:00
admin,acad.exe,some2.dwg,15.092058,E:\temp\some2.dwg,2024-11-15 17:00
admin,acad.exe,some1.dwg,7.504753,E:\temp\some1.dwg,2024-11-15 17:00
admin,chrome.exe,Active File Tracking Script,3.777509,,2024-11-15 17:00
Unknown,Unknown,-,0.112012,,2024-11-15 17:00
admin,others,-,2.391006,,2024-11-15 17:00
admin,WINWORD.EXE,-,4.202984,,2024-11-15 17:00
Unknown,Unknown,-,0.127022,,2024-11-15 17:00
admin,others,-,4.848655,,2024-11-15 17:00
Unknown,Unknown,-,0.203666,,2024-11-15 17:00
admin,others,-,8.176773,,2024-11-15 17:00
Unknown,Unknown,-,0.202613,,2024-11-15 17:00
admin,others,-,0.823636,,2024-11-15 17:00
Unknown,Unknown,-,0.10297,,2024-11-15 17:00
admin,others,-,0.404481,,2024-11-15 17:00
Unknown,Unknown,-,0.114282,,2024-11-15 17:00
admin,others,-,0.324472,,2024-11-15 17:00
Unknown,Unknown,-,0.100994,,2024-11-15 17:00
admin,others,-,0.404706,,2024-11-15 17:00
Unknown,Unknown,-,0.101937,,2024-11-15 17:00
