User Name,App Used,File in App Used,Time Used (seconds),File Path
nborg,ARCHICAD.exe,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,22.16275,
nborg,others,-,11.033271,-
nborg,ARCHICAD.exe,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,0.510174,
nborg,others,-,4.665613,-
nborg,ARCHICAD.exe,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,3.751687,
nborg,others,-,1.490047,-
nborg,ARCHICAD.exe,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,0.540521,
nborg,others,-,7.448674,-
nborg,ARCHICAD.exe,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,9.510052,
nborg,others,-,2.660264,-
nborg,ARCHICAD.exe,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,1.771521,
nborg,others,-,0.418624,-
nborg,ARCHICAD.exe,486-GURU-ARCH-08 - ARCHICAD 25 DEMO,0.521088,
