Date and Hour,File Worked On,Time Spent on File (seconds),App Used
2024-11-20 18:00,Документ1,0.107755,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107304,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109707,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109822,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108855,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10942,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108136,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106112,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108676,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108314,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110798,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.119273,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.103669,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.175658,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.119111,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110286,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10621,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107787,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108559,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107729,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108789,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107074,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107973,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.11,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106423,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108433,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109987,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106247,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10698,WINWORD.EXE,Документ1
